reducido,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2020 - 01,2020 - 02,2020 - 03,2020 - 04,2020 - 05,2020 - 06
Prog. Neuroling.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos de la Programación Neurolinguistica,"Diseño de una nueva coherencia  (entre cuerpo, emociones y lenguaje)",El poder del cambio,Comunicación consciente,El meta aprendizaje con perspectivas de PNL,Fundamentos de la Programación Neurolinguistica,"Diseño de una nueva coherencia  (entre cuerpo, emociones y lenguaje)",El poder del cambio,Comunicación consciente
Programacion de Apps,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Programación en Python,Marketing Analytics,Programación de APPS,Diseño e Implementación de APPS,Desarrollo emprendedor de negocios,Programación en Python,Marketing Analytics,Programación de APPS,Diseño e Implementación de APPS,Desarrollo emprendedor de negocios,Programación en Python
Prot. Datos. P,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Big data y Business Analyitics,Social Media,Flujo de datos transfronterizos,Aviso de Privacidad,Regulación de Datos Personales,Big data y Business Analyitics,Social Media,Flujo de datos transfronterizos,Aviso de Privacidad
Psicopat. Adol.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Primeros auxilios psicológicos en adolescentes,Desarrollo adolescente y Salud mental,Psicopatología y conductas de riesgo,Resiliencia y afrontamiento,"Detección, evaluación y prevención de conductas de autolesión",Primeros auxilios psicológicos en adolescentes,Desarrollo adolescente y Salud mental,Psicopatología y conductas de riesgo,Resiliencia y afrontamiento
Psicoped. Escolar,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Toma de Decisiones,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Desarrollo humano,Evaluación del Aprendizaje,Proceso de enseñanza-aprendizaje,Trastornos y dificultades de aprendizaje  en aptitudes académicas,"Metodologías activas, aprendizaje situado y didáctica diferencial",Desarrollo humano,Evaluación del Aprendizaje,Proceso de enseñanza-aprendizaje,Trastornos y dificultades de aprendizaje  en aptitudes académicas,"Metodologías activas, aprendizaje situado y didáctica diferencial",Desarrollo humano,Evaluación del Aprendizaje,Proceso de enseñanza-aprendizaje,Trastornos y dificultades de aprendizaje  en aptitudes académicas,"Metodologías activas, aprendizaje situado y didáctica diferencial"
Resp. Empresarial,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Responsabilidad Laboral,Detección de Operaciones de Procedencia ilícita ,Responsabilidad Fiscal ,Responsabilidad penal y detección de Operaciones de Procedencia ilícita,Responsabilidad Corporativa,Responsabilidad Laboral
Salud y Biene. Corp.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Bienestar Corporativo Salud Generalidades,Bienestar Corprativo Implicaciones Legales,Programa de Bienestar Corporativo y Salud,Manual de Bienestar Corporativo y Salud
Tecnologia 5g,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,REALIDAD VIRTUAL Y AUMENTADA,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase
Teletrabajo,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Inteligencia Emocional,Plataformas de Teleworking,Implementación del Teletrabajo,Liderazgo y Motivación,Regulación Jurídica del Teleworking,Inteligencia Emocional
Ten. Alim. Funcional,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos de la ciencia de los alimentos,Introducción a los alimentos funcionales,Alimentación y enfermedades,Tópicos selectos de biotecnología,"Planeación, producción y comercialización de nuevos alimentos",Fundamentos de la ciencia de los alimentos
Trans. Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Componentes básicos en Inteligencia Artificial,El Design Thinking bajo un modelo de experiencias,TECNOLOGÍAS DISRUPTIVAS,Derecho de las tecnologías,Blockchain para empresas,Componentes básicos en Inteligencia Artificial
Transf. Globales,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Tendencia de las organizaciones,Sin clase,Sociedad de la Información,Mercados globales y consecuencias,Mercados globales y consecuencias,Paz y Seguridad Internacionales,Tendencia de las organizaciones,Sociedad de la Información
Transparencia,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Generalidades y clasificación de la corrupcción,Generalidades y clasificación de la corrupcción,La actuación ética y responsabilidad administrativa de los servidores públicos,Conductas delictivas asociadas a la corrupción,Corrupción en las empresas,El Sistema Nacional y Estatal Anticorrupción
Trastornos Alimen.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Epidemiología de los TCA y la obesidad. Cultura y alimentación,Factores de riesgo / Conductas de riesgo. Interacciones precoces,Diagnóstico de los TCA y la obesidad,Tratamiento de los TCA. Manejo integral y multidisciplinario,Prevención,Epidemiología de los TCA y la obesidad. Cultura y alimentación,Factores de riesgo / Conductas de riesgo. Interacciones precoces,Diagnóstico de los TCA y la obesidad,Tratamiento de los TCA. Manejo integral y multidisciplinario
Ventas Estrat.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Excelencia en el Servicio al Cliente,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Visión Comercial,Excelencia en el Servicio al Cliente,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Visión Comercial,Excelencia en el Servicio al Cliente,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Liderazgo y Motivación,Visión Comercial,Excelencia en el Servicio al Cliente
Vida Indep.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Autodeterminacion/autogestor ,Familia ,Inclusión,Marco Normativo,Discapacidad,Autodeterminacion/autogestor 
